datetime,text,retweet_count,reply_count,like_count
2022-01-28 23:59:45+00:00,"Wordle 223 4/6

⬛⬛⬛⬛⬛
🟩⬛🟩⬛⬛
🟩⬛🟩⬛🟨
🟩🟩🟩🟩🟩",0,0,1
2022-01-28 23:59:45+00:00,"Wordle 223 5/6

🟨🟩⬛⬛🟩
⬛🟩🟩⬛🟩
⬛🟩🟩⬛🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩ugh.",0,1,1
2022-01-28 23:59:45+00:00,"@prasanth_j Wordle 223 4/6

⬛🟩⬛⬛🟩
⬛🟩⬛🟨🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",0,0,1
2022-01-28 23:59:45+00:00,"Wordle 224 5/6

⬜⬜⬜⬜⬜
🟨⬜🟨⬜🟨
🟨🟨⬜⬜⬜
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",0,1,0
2022-01-28 23:59:44+00:00,"Wordle 224 4/6

⬛⬛🟨⬛⬛
🟨⬛⬛⬛🟨
🟨🟨⬛⬛⬛
🟩🟩🟩🟩🟩",0,0,1
2022-01-28 23:59:44+00:00,"Wordle 224 4/6

⬜🟨🟨⬜🟨
🟨🟩🟩⬜⬜
⬜🟩🟩⬜🟩
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:43+00:00,"Wordle 224 6/6

⬜⬜⬜⬜🟩
⬜🟨⬜⬜🟩
⬜🟩🟨⬜🟩
🟨🟩⬜⬜🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:43+00:00,"I get that some of you are annoyed by Wordle, but may I present the argument that people are having fun with it and it’s harmless fun at that, and I’d much rather see green and yellow squares in my timeline than more tweets and fights about our impending doom? 😘",0,0,11
2022-01-28 23:59:43+00:00,"That was stressful

Wordle 224 6/6

⬜⬜⬜⬜⬜
⬜🟩⬜⬜⬜
⬜🟩⬜🟨⬜
⬜🟩🟩⬜🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",0,0,2
2022-01-28 23:59:42+00:00,"Wordle 224 3/6

⬜🟨🟨⬜⬜
🟩🟩🟨🟨⬜
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:42+00:00,"Wordle 224 5/6

🟨⬛⬛⬛⬛
⬛🟩🟩⬛⬛
⬛🟩🟩⬛⬛
⬛🟩🟩⬛🟩
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:42+00:00,"Wordle 224 4/6

⬛⬛🟨⬛⬛
⬛⬛⬛🟨⬛
⬛🟩⬛🟩⬛
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:42+00:00,"Wordle 224 5/6

⬜⬜⬜⬜⬜
⬜🟩🟩⬜⬜
⬜🟩🟩⬜🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:42+00:00,"Wordle 224 2/6

⬛⬛⬛🟩⬛
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:41+00:00,"Wordle 224 4/6

⬛⬛🟨⬛⬛
⬛🟩🟨⬛🟩
⬛🟩🟩⬛🟩
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:41+00:00,"👎🏼 Wordle 223 5/6

⬛⬛⬛⬛🟨
⬛🟨🟨⬛⬛
⬛🟩⬛⬛🟨
🟩🟩🟩⬛⬛
🟩🟩🟩🟩🟩",0,0,1
2022-01-28 23:59:41+00:00,"Wordle 224 3/6

⬜⬜⬜🟩⬜
⬜🟩⬜🟩🟩
🟩🟩🟩🟩🟩",1,0,10
2022-01-28 23:59:41+00:00,"Wordle (ES) #22 4/6

⬜⬜⬜🟨⬜
⬜🟨🟨🟩🟨
⬜🟨🟨🟩🟩
🟩🟩🟩🟩🟩

 https://t.co/SyH4e5kDHN",0,0,0
2022-01-28 23:59:41+00:00,"Crappy
Wordle 224 6/6

⬛⬛🟨⬛⬛
⬛🟩🟨⬛⬛
⬛🟩🟨⬛🟨
⬛🟩⬛⬛🟨
🟩🟩⬛🟩⬛
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:38+00:00,"Wordle 224 3/6

⬜⬜⬜🟩⬜
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:37+00:00,@rebeccajpowell Got the right one? https://t.co/hJuge7APan,0,1,0
2022-01-28 23:59:37+00:00,"@radhunair What a toughie…I almost gave up! Wordle 223 5/6

⬜⬜🟨⬜⬜
🟨⬜⬜⬜🟨
⬜⬜🟨⬜🟨
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",0,0,1
2022-01-28 23:59:37+00:00,"gg ez
Wordle 223 4/6

🟩🟩⬛⬛⬛
🟩🟩⬛⬛⬛
🟩🟩🟩⬛🟩
🟩🟩🟩🟩🟩",0,1,0
2022-01-28 23:59:36+00:00,"Wordle 224 5/6

⬛🟨⬛⬛⬛
⬛🟨🟩⬛⬛
⬛⬛🟩🟩⬛
⬛⬛🟩🟩⬛
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:36+00:00,"Wordle 224 4/6

⬜⬜⬜⬜⬜
🟩⬜🟨⬜⬜
🟩🟩⬜⬜⬜
🟩🟩🟩🟩🟩",0,0,1
2022-01-28 23:59:34+00:00,"@danilic Tough one

Wordle 224 3/6

🟨🟨⬛⬛⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:34+00:00,"Wordle 222 3/6

⬛⬛⬛⬛🟩
⬛🟩⬛🟩🟩
🟩🟩🟩🟩🟩

Forgot to post this yesterday. The fastest I’ve gotten it done.",0,0,0
2022-01-28 23:59:34+00:00,"@melkettle I knew it was *something* ending in ****, just took a while to guess right! 😂 

Wordle 224 5/6

⬜⬜⬜⬜⬜
⬜⬜🟨🟨🟩
⬜🟩🟩🟩🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",0,0,1
2022-01-28 23:59:34+00:00,"Wordle 223 4/6

⬛⬛⬛⬛⬛
⬛⬛🟨🟨⬛
⬛🟨⬛🟩🟨
🟩🟩🟩🟩🟩",0,0,1
2022-01-28 23:59:34+00:00,"Wordle 224 3/6

⬛⬛⬛⬛⬛
🟨🟩🟨🟨⬛
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:34+00:00,"Wordle 224 3/6

⬜⬜⬜⬜⬜
🟩⬜⬜🟩🟩
🟩🟩🟩🟩🟩",0,0,0
